"","ID","Vessel_Name","Departure","Arrival","Scheduled_Departure","Day_of_Month","Month","Day","Hour","Traffic","Van_Temp_Cel","Van_Dew_Point_Temp_Cel","Van_Relative_Humidity_Per","Vic_Temp_Cel","Vic_Dew_Point_Temp_Cel","Vic_Relative_Humidity_Per","Vic_Wind_Direct_Deg","Vic_Wind_Speed","Vic_Visibility","Vic_Station_Pressure"
"1",1,"Queen of Coquitlam","Duke Point","Tsawwassen","05:15",27,"November","Monday",5,1,5.6,4.7,94,6.2,3.6,84,360,8,24.1,100.5
"2",2,"Queen of New Westminster","Duke Point","Tsawwassen","07:45",27,"November","Monday",7,2,5.3,4.6,96,7.4,4.8,84,240,16,24.1,101.51
"3",3,"Queen of Coquitlam","Duke Point","Tsawwassen","10:15",27,"November","Monday",10,1,7.8,6.2,89,8,4.1,76,220,13,24.1,101.77
"4",4,"Queen of New Westminster","Duke Point","Tsawwassen","12:45",27,"November","Monday",12,1,8.4,5.9,84,8.7,4.5,75,220,9,24.1,101.88
"5",5,"Queen of Coquitlam","Duke Point","Tsawwassen","15:15",27,"November","Monday",15,1.8,8.8,4.6,74,8.8,4,72,130,9,24.1,101.99
"6",6,"Queen of New Westminster","Duke Point","Tsawwassen","17:45",27,"November","Monday",17,1.8,8.1,6,87,8.5,5.2,79,130,17,24.1,101.97
"7",7,"Queen of Coquitlam","Duke Point","Tsawwassen","20:15",27,"November","Monday",20,1.66666666666667,7.2,5.9,91,8.3,5.4,82,120,15,24.1,101.88
"8",8,"Queen of New Westminster","Duke Point","Tsawwassen","22:45",27,"November","Monday",22,2,7.4,5.9,90,7.9,4.6,80,30,9,24.1,103.04
"9",9,"Queen of Cowichan","Departure Bay","Horseshoe Bay","06:30",27,"November","Monday",6,1,5.5,4.7,95,7.3,5,85,250,14,24.1,101.41
"10",10,"Queen of Oak Bay","Departure Bay","Horseshoe Bay","08:30",27,"November","Monday",8,1,4.9,4.3,96,7.4,5.1,85,260,14,24.1,101.61
"11",11,"Queen of Cowichan","Departure Bay","Horseshoe Bay","10:30",27,"November","Monday",10,1,7.8,6.2,89,8,4.1,76,220,13,24.1,101.77
"12",12,"Queen of Oak Bay","Departure Bay","Horseshoe Bay","12:30",27,"November","Monday",12,1.8,8.4,5.9,84,8.7,4.5,75,220,9,24.1,101.88
"13",13,"Queen of Cowichan","Departure Bay","Horseshoe Bay","15:00",27,"November","Monday",15,1,8.8,4.6,74,8.8,4,72,130,9,24.1,101.99
"14",14,"Queen of Oak Bay","Departure Bay","Horseshoe Bay","17:00",27,"November","Monday",17,5,8.1,6,87,8.5,5.2,79,130,17,24.1,101.97
"15",15,"Queen of Oak Bay","Departure Bay","Horseshoe Bay","21:00",27,"November","Monday",21,2,7.5,6,90,8.1,5.2,82,110,14,24.1,101.78
"16",16,"Queen of Capilano","Horseshoe Bay","Snug Cove (Bowen Is.)","06:00",27,"November","Monday",6,1,5.5,4.7,95,7.3,5,85,250,14,24.1,101.41
"17",17,"Queen of Capilano","Horseshoe Bay","Snug Cove (Bowen Is.)","07:00",27,"November","Monday",7,1,5.3,4.6,96,7.4,4.8,84,240,16,24.1,101.51
"18",18,"Queen of Capilano","Horseshoe Bay","Snug Cove (Bowen Is.)","08:00",27,"November","Monday",8,1.4,4.9,4.3,96,7.4,5.1,85,260,14,24.1,101.61
"19",19,"Queen of Capilano","Horseshoe Bay","Snug Cove (Bowen Is.)","09:00",27,"November","Monday",9,1.4,7.3,5.8,91,7.8,5.3,84,230,16,24.1,101.66
"20",20,"Queen of Capilano","Horseshoe Bay","Snug Cove (Bowen Is.)","10:00",27,"November","Monday",10,1,7.8,6.2,89,8,4.1,76,220,13,24.1,101.77
"21",21,"Queen of Capilano","Horseshoe Bay","Snug Cove (Bowen Is.)","11:00",27,"November","Monday",11,1,9.1,6.7,85,8.5,4.4,75,240,15,24.1,101.85
"22",22,"Queen of Capilano","Horseshoe Bay","Snug Cove (Bowen Is.)","12:00",27,"November","Monday",12,1,8.4,5.9,84,8.7,4.5,75,220,9,24.1,101.88
"23",23,"Queen of Capilano","Horseshoe Bay","Snug Cove (Bowen Is.)","14:25",27,"November","Monday",14,1.8,8.9,5.9,82,8.7,2.6,65,210,6,24.1,101.94
"24",24,"Queen of Capilano","Horseshoe Bay","Snug Cove (Bowen Is.)","15:30",27,"November","Monday",15,3.2,8.8,4.6,74,8.8,4,72,130,9,24.1,101.99
"25",25,"Queen of Capilano","Horseshoe Bay","Snug Cove (Bowen Is.)","16:30",27,"November","Monday",16,5,8.5,4.4,75,8.8,5.4,79,130,10,24.1,101.99
"26",26,"Queen of Capilano","Horseshoe Bay","Snug Cove (Bowen Is.)","17:30",27,"November","Monday",17,3,8.1,6,87,8.5,5.2,79,130,17,24.1,101.97
"27",27,"Queen of Capilano","Horseshoe Bay","Snug Cove (Bowen Is.)","18:30",27,"November","Monday",18,1,7.7,5.9,88,8.3,5,80,120,16,24.1,101.92
"28",28,"Queen of Capilano","Horseshoe Bay","Snug Cove (Bowen Is.)","19:30",27,"November","Monday",19,1,7.3,6.2,92,8,5.3,83,120,17,24.1,101.88
"29",29,"Queen of Capilano","Horseshoe Bay","Snug Cove (Bowen Is.)","20:30",27,"November","Monday",20,1.4,7.2,5.9,91,8.3,5.4,82,120,15,24.1,101.88
