"","ID","Departure","Arrival","Minutes","Day_of_Month","Month","Day","Hour","Traffic","Van_Temp_Cel","Van_Dew_Point_Temp_Cel","Van_Relative_Humidity_Per","Vic_Temp_Cel","Vic_Dew_Point_Temp_Cel","Vic_Relative_Humidity_Per","Vic_Wind_Direct_Deg","Vic_Wind_Speed","Vic_Visibility","Vic_Station_Pressure"
"1",1,"Duke Point","Tsawwassen","15","27","November","Monday","5","1",5.6,4.7,94,6.2,3.6,84,360,8,24.1,100.5
"2",2,"Duke Point","Tsawwassen","45","27","November","Monday","7","2",5.3,4.6,96,7.4,4.8,84,240,16,24.1,101.51
"3",3,"Duke Point","Tsawwassen","15","27","November","Monday","10","1",7.8,6.2,89,8,4.1,76,220,13,24.1,101.77
"4",4,"Duke Point","Tsawwassen","45","27","November","Monday","12","1",8.4,5.9,84,8.7,4.5,75,220,9,24.1,101.88
"5",5,"Duke Point","Tsawwassen","15","27","November","Monday","15","2",8.8,4.6,74,8.8,4,72,130,9,24.1,101.99
"6",6,"Duke Point","Tsawwassen","45","27","November","Monday","17","2",8.1,6,87,8.5,5.2,79,130,17,24.1,101.97
"7",7,"Duke Point","Tsawwassen","15","27","November","Monday","20","2",7.2,5.9,91,8.3,5.4,82,120,15,24.1,101.88
"8",8,"Duke Point","Tsawwassen","45","27","November","Monday","22","2",7.4,5.9,90,7.9,4.6,80,30,9,24.1,103.04
"9",9,"Departure Bay","Horseshoe Bay","30","27","November","Monday","6","1",5.5,4.7,95,7.3,5,85,250,14,24.1,101.41
"10",10,"Departure Bay","Horseshoe Bay","30","27","November","Monday","8","1",4.9,4.3,96,7.4,5.1,85,260,14,24.1,101.61
"11",11,"Departure Bay","Horseshoe Bay","30","27","November","Monday","10","1",7.8,6.2,89,8,4.1,76,220,13,24.1,101.77
"12",12,"Departure Bay","Horseshoe Bay","30","27","November","Monday","12","2",8.4,5.9,84,8.7,4.5,75,220,9,24.1,101.88
"13",13,"Departure Bay","Horseshoe Bay","0","27","November","Monday","15","1",8.8,4.6,74,8.8,4,72,130,9,24.1,101.99
"14",14,"Departure Bay","Horseshoe Bay","0","27","November","Monday","17","5",8.1,6,87,8.5,5.2,79,130,17,24.1,101.97
"15",15,"Departure Bay","Horseshoe Bay","0","27","November","Monday","21","2",7.5,6,90,8.1,5.2,82,110,14,24.1,101.78
"16",16,"Horseshoe Bay","Snug Cove (Bowen Is.)","0","27","November","Monday","6","1",5.5,4.7,95,7.3,5,85,250,14,24.1,101.41
"17",17,"Horseshoe Bay","Snug Cove (Bowen Is.)","0","27","November","Monday","7","1",5.3,4.6,96,7.4,4.8,84,240,16,24.1,101.51
"18",18,"Horseshoe Bay","Snug Cove (Bowen Is.)","0","27","November","Monday","8","1",4.9,4.3,96,7.4,5.1,85,260,14,24.1,101.61
"19",19,"Horseshoe Bay","Snug Cove (Bowen Is.)","0","27","November","Monday","9","1",7.3,5.8,91,7.8,5.3,84,230,16,24.1,101.66
"20",20,"Horseshoe Bay","Snug Cove (Bowen Is.)","0","27","November","Monday","10","1",7.8,6.2,89,8,4.1,76,220,13,24.1,101.77
"21",21,"Horseshoe Bay","Snug Cove (Bowen Is.)","0","27","November","Monday","11","1",9.1,6.7,85,8.5,4.4,75,240,15,24.1,101.85
"22",22,"Horseshoe Bay","Snug Cove (Bowen Is.)","0","27","November","Monday","12","1",8.4,5.9,84,8.7,4.5,75,220,9,24.1,101.88
"23",23,"Horseshoe Bay","Snug Cove (Bowen Is.)","25","27","November","Monday","14","2",8.9,5.9,82,8.7,2.6,65,210,6,24.1,101.94
"24",24,"Horseshoe Bay","Snug Cove (Bowen Is.)","30","27","November","Monday","15","3",8.8,4.6,74,8.8,4,72,130,9,24.1,101.99
"25",25,"Horseshoe Bay","Snug Cove (Bowen Is.)","30","27","November","Monday","16","5",8.5,4.4,75,8.8,5.4,79,130,10,24.1,101.99
"26",26,"Horseshoe Bay","Snug Cove (Bowen Is.)","30","27","November","Monday","17","3",8.1,6,87,8.5,5.2,79,130,17,24.1,101.97
"27",27,"Horseshoe Bay","Snug Cove (Bowen Is.)","30","27","November","Monday","18","1",7.7,5.9,88,8.3,5,80,120,16,24.1,101.92
"28",28,"Horseshoe Bay","Snug Cove (Bowen Is.)","30","27","November","Monday","19","1",7.3,6.2,92,8,5.3,83,120,17,24.1,101.88
"29",29,"Horseshoe Bay","Snug Cove (Bowen Is.)","30","27","November","Monday","20","1",7.2,5.9,91,8.3,5.4,82,120,15,24.1,101.88
"30",30,"Horseshoe Bay","Snug Cove (Bowen Is.)","30","27","November","Monday","21","1",7.5,6,90,8.1,5.2,82,110,14,24.1,101.78
"31",31,"Horseshoe Bay","Departure Bay","30","27","November","Monday","6","1",5.5,4.7,95,7.3,5,85,250,14,24.1,101.41
"32",32,"Horseshoe Bay","Departure Bay","30","27","November","Monday","8","1",4.9,4.3,96,7.4,5.1,85,260,14,24.1,101.61
