"Hour","Month","Day_of_Month","Day","Van_Temp_Cel","Van_Dew_Point_Temp_Cel","Van_Relative_Humidity_Per","Vic_Temp_Cel","Vic_Dew_Point_Temp_Cel","Vic_Relative_Humidity_Per","Vic_Wind_Direct_Deg","Vic_Wind_Speed","Vic_Visibility","Vic_Station.Pressure","Minute"
" 7"," 8","28","7",15.8,12.4,"80",13.1,11.7,"91","160",8,24.1,101.79," 0"
" 8"," 8","28","7",16.1,12.6,"80",13.7,11.9,"89","180",9,24.1,101.83," 0"
" 9"," 8","28","7",16.1,12.4,"79",14.2,11.7,"85","150",10,24.1,101.84," 0"
"10"," 8","28","7",16.7,12.3,"75",14.6,11.8,"83","160",14,24.1,101.88," 0"
"11"," 8","28","7",17.4,11.9,"70",15.2,11.8,"80","120",11,24.1,101.87," 0"
"12"," 8","28","7",19.3,11.7,"61",15.5,11.1,"75","170",10,24.1,101.91," 0"
"13"," 8","28","7",19.6,11.9,"61",13.4,11.8,"90","230",8,16.1,101.99," 0"
"14"," 8","28","7",17.5,13.6,"78",13.6,12.3,"92","180",5,16.1,101.97," 0"
"15"," 8","28","7",18.5,13.3,"72",13.4,12.1,"92","230",9,17.7,101.93," 0"
"16"," 8","28","7",18.4,14,"75",13.4,12.3,"93","230",7,16.1,101.92," 0"
"17"," 8","28","7",17.3,14.7,"85",14.2,12.3,"88","120",3,16.1,101.88," 0"
"18"," 8","28","7",17.4,14.1,"81",13.3,12,"92","220",6,24.1,101.85," 0"
"19"," 8","28","7",16.3,14.5,"89",13.4,12.1,"92","220",5,24.1,101.84," 0"
"20"," 8","28","7",16.4,13.8,"85",13.2,11.9,"92","240",5,24.1,101.84," 0"
"21"," 8","28","7",16.6,13,"79",12.5,9.3,"81","220",8,24.1,102.17," 0"
"22"," 8","28","7",16.6,12.9,"79",2.6,1.4,"93","340",1,24.1,102.79," 0"
" 9"," 8","28","7",16.1,12.4,"79",14.2,11.7,"85","150",10,24.1,101.84,"50"
"14"," 8","28","7",17.5,13.6,"78",13.6,12.3,"92","180",5,16.1,101.97," 5"
"14"," 8","28","7",17.5,13.6,"78",13.6,12.3,"92","180",5,16.1,101.97,"55"
"18"," 8","28","7",17.4,14.1,"81",13.3,12,"92","220",6,24.1,101.85,"50"
"18"," 8","28","7",17.4,14.1,"81",13.3,12,"92","220",6,24.1,101.85,"55"
"22"," 8","28","7",16.6,12.9,"79",12.9,10.2,"83","100",12,24.1,101.74,"45"
" 5"," 8","28","7",15.6,12.3,"81",13.2,11.8,"91","230",13,24.1,101.71,"15"
" 7"," 8","28","7",15.8,12.4,"80",13.1,11.7,"91","160",8,24.1,101.79,"45"
"10"," 8","28","7",16.7,12.3,"75",14.6,11.8,"83","160",14,24.1,101.88,"15"
"12"," 8","28","7",19.3,11.7,"61",15.5,11.1,"75","170",10,24.1,101.91,"45"
"15"," 8","28","7",18.5,13.3,"72",13.4,12.1,"92","230",9,17.7,101.93,"15"
"17"," 8","28","7",17.3,14.7,"85",14.2,12.3,"88","120",3,16.1,101.88,"45"
"20"," 8","28","7",16.4,13.8,"85",13.2,11.9,"92","240",5,24.1,101.84,"15"
"22"," 8","28","7",16.6,12.9,"79",6.6,6,"95","200",7,9.7,101.26,"45"
" 9"," 8","28","7",16.1,12.4,"79",14.2,11.7,"85","150",10,24.1,101.84," 0"
"11"," 8","28","7",17.4,11.9,"70",15.2,11.8,"80","120",11,24.1,101.87," 0"
"13"," 8","28","7",19.6,11.9,"61",13.4,11.8,"90","230",8,16.1,101.99," 0"
"15"," 8","28","7",18.5,13.3,"72",13.4,12.1,"92","230",9,17.7,101.93," 0"
"17"," 8","28","7",17.3,14.7,"85",14.2,12.3,"88","120",3,16.1,101.88," 0"
"19"," 8","28","7",16.3,14.5,"89",13.4,12.1,"92","220",5,24.1,101.84," 0"
"21"," 8","28","7",16.6,13,"79",6.7,5.5,"90","220",12,24.1,101.96," 0"
" 5"," 8","28","7",15.6,12.3,"81",13.2,11.8,"91","230",13,24.1,101.71,"30"
" 6"," 8","28","7",15.8,12.1,"79",13.4,11.6,"89","180",10,24.1,101.76," 0"
" 8"," 8","28","7",16.1,12.6,"80",13.7,11.9,"89","180",9,24.1,101.83,"35"
" 8"," 8","28","7",16.1,12.6,"80",13.7,11.9,"89","180",9,24.1,101.83,"55"
"14"," 8","28","7",17.5,13.6,"78",13.6,12.3,"92","180",5,16.1,101.97,"10"
"14"," 8","28","7",17.5,13.6,"78",13.6,12.3,"92","180",5,16.1,101.97,"30"
"17"," 8","28","7",17.3,14.7,"85",14.2,12.3,"88","120",3,16.1,101.88,"40"
"18"," 8","28","7",17.4,14.1,"81",13.3,12,"92","220",6,24.1,101.85,"45"
"19"," 8","28","7",16.3,14.5,"89",13.4,12.1,"92","220",5,24.1,101.84,"45"
" 7"," 8","28","7",15.8,12.4,"80",13.1,11.7,"91","160",8,24.1,101.79," 0"
" 8"," 8","28","7",16.1,12.6,"80",13.7,11.9,"89","180",9,24.1,101.83," 0"
" 9"," 8","28","7",16.1,12.4,"79",14.2,11.7,"85","150",10,24.1,101.84," 0"
"10"," 8","28","7",16.7,12.3,"75",14.6,11.8,"83","160",14,24.1,101.88," 0"
"11"," 8","28","7",17.4,11.9,"70",15.2,11.8,"80","120",11,24.1,101.87," 0"
"12"," 8","28","7",19.3,11.7,"61",15.5,11.1,"75","170",10,24.1,101.91," 0"
"13"," 8","28","7",19.6,11.9,"61",13.4,11.8,"90","230",8,16.1,101.99," 0"
"14"," 8","28","7",17.5,13.6,"78",13.6,12.3,"92","180",5,16.1,101.97," 0"
"15"," 8","28","7",18.5,13.3,"72",13.4,12.1,"92","230",9,17.7,101.93," 0"
"16"," 8","28","7",18.4,14,"75",13.4,12.3,"93","230",7,16.1,101.92," 0"
"17"," 8","28","7",17.3,14.7,"85",14.2,12.3,"88","120",3,16.1,101.88," 0"
"18"," 8","28","7",17.4,14.1,"81",13.3,12,"92","220",6,24.1,101.85," 0"
"19"," 8","28","7",16.3,14.5,"89",13.4,12.1,"92","220",5,24.1,101.84," 0"
